gold_per_min,level,leaver_status,xp_per_min,radiant_score,gold_spent,deaths,denies,hero_damage,tower_damage,last_hits,hero_healing,duration,radiant_win
5096,150,0,7578,26,149150,38,23,144561,5001,731,0,1882,0
6602,150,0,9942,35,143805,32,51,163087,24268,715,3075,1540,1
2614,129,0,3293,28,92860,51,35,112225,12553,1214,0,2400,0
2839,149,0,4272,52,116935,62,88,204597,12161,1147,5272,2947,0
2364,106,0,2816,22,77785,18,82,83476,14542,820,6147,1990,1
2641,127,1,3160,29,85260,50,33,107677,9662,1004,0,2509,0
2659,129,0,3699,61,82415,60,36,139434,20621,548,3821,2168,1
2683,122,0,3467,39,74455,24,55,104066,27173,744,12945,1963,1
2886,142,0,3770,39,113225,35,58,140655,19437,1247,2220,2646,1
2991,150,0,3988,60,138735,52,63,204616,29050,1493,10808,3361,1
3778,99,1,6178,9,46220,35,45,30285,2421,197,5788,787,0
2894,135,0,4065,69,92105,30,58,144916,12374,877,415,2246,1
2278,112,0,2800,20,70370,38,55,141597,11449,782,5837,2091,0
2178,102,0,2582,12,63690,46,45,96885,8838,847,180,1941,0
2294,136,0,3282,40,80675,54,37,152311,5481,771,0,2567,0
2469,114,0,3100,37,64180,17,72,114816,21246,710,3935,1941,1
2854,132,0,3779,50,91320,36,61,115308,28354,903,4666,2170,1
2792,150,0,3518,42,144675,61,79,202179,10489,1446,9357,3630,0
3869,150,0,5258,46,142620,72,34,246974,23278,1100,12243,2815,0
2632,102,0,3056,36,60610,17,96,82825,14071,653,494,1622,1
1633,88,0,2178,19,43310,42,53,78069,1650,334,2753,1777,0
2746,141,0,3870,47,106190,46,53,146707,22427,969,3165,2573,1
2109,125,0,3138,15,68715,54,48,127948,6332,850,0,2328,0
3331,150,1,4171,59,132650,47,80,218831,19710,1791,1320,3068,0
2631,132,0,3920,56,75810,56,67,155868,14033,587,0,2089,1
6015,145,0,9223,38,107295,27,17,104982,18825,245,625,1106,1
2827,124,0,3651,44,79720,30,26,139509,24252,858,2714,1994,1
2103,102,0,2529,21,62235,51,60,121331,7458,731,2447,2039,0
2928,150,1,4220,66,125055,66,56,191542,20969,1445,0,3331,0
1933,101,0,2629,16,49430,57,33,91625,6219,518,0,1906,0
2859,150,0,4237,63,129115,68,51,229598,25542,1301,24271,3245,1
2630,143,0,3811,47,92930,37,74,138525,19745,854,1693,2561,1
2459,147,1,3674,60,105040,66,51,215327,5423,1008,4047,3164,0
3884,69,0,3154,24,47980,19,0,22512,9307,107,0,826,1
2308,126,1,3104,38,79585,55,47,127926,5921,762,4535,2505,0
2835,102,0,3127,31,69980,11,92,71933,25169,709,395,1594,1
2262,124,0,3189,26,72865,56,73,154416,6598,761,0,2211,0
6595,150,0,10898,52,148050,28,41,147986,17820,546,3866,1539,1
6216,148,0,8389,42,145145,29,17,99339,28786,525,0,1538,1
2736,120,0,3513,48,76410,25,38,107997,18504,722,1062,1899,1
3082,137,0,4181,43,99835,38,71,127608,22630,1064,5795,2176,1
2728,145,0,3896,40,94990,37,91,174369,13138,1173,6473,2560,1
2184,91,0,2531,13,51420,33,38,73813,9159,761,1701,1605,0
2373,121,0,3595,104,64225,38,28,199875,6480,250,27000,1917,1
2997,150,0,3899,59,132050,50,83,228775,29763,1343,22063,3249,1
1789,81,0,2162,15,40485,43,34,71636,3749,458,5790,1589,0
