gold_per_min,level,leaver_status,xp_per_min,radiant_score,gold_spent,deaths,denies,hero_damage,tower_damage,last_hits,hero_healing,duration,radiant_win
2559,122,0,3249,40,80845,40,43,91131,17312,837,1691,2199,1
2548,132,0,3519,32,84020,58,69,151747,5259,1016,16811,2313,0
2222,108,0,2730,23,58445,58,68,122559,7889,597,0,1989,0
4787,149,0,8782,25,112600,30,23,102990,6889,522,5695,1468,0
2002,119,0,2748,33,68025,70,30,120662,1645,661,2208,2424,0
2820,147,0,4190,50,106165,58,46,205338,11317,1321,2173,2704,0
2251,120,0,3098,57,68825,40,8,137889,16415,504,6797,2132,1
2804,149,0,4054,50,116540,59,77,188687,22116,1182,1714,2959,1
3279,128,0,3745,39,102675,25,80,109469,24058,1067,1787,2098,1
3012,137,0,3789,55,105100,40,101,187462,32831,1030,15989,2361,1
2695,121,0,3592,52,69370,35,75,143917,19555,672,15592,1917,1
2833,130,0,3967,37,84050,32,57,93111,22759,940,0,2009,1
6171,150,0,9401,32,140975,28,23,98114,20347,509,400,1425,1
5405,20,0,1215,15,21235,3,0,9641,10129,30,400,271,1
2644,74,0,2550,32,39545,25,32,66798,24471,460,0,1243,1
758,4,0,385,1,300,3,0,1579,0,7,0,110,0
2832,134,0,3736,34,82515,46,65,129226,15467,829,1123,2193,1
2631,115,1,2964,29,74445,53,33,98194,5226,772,780,2086,0
3163,105,0,3156,33,76510,26,37,80698,22149,766,1731,1636,1
3188,150,0,4406,64,135810,52,70,211437,20089,1347,1250,2870,1
2234,114,0,2718,18,77525,54,40,121754,10448,887,12684,2303,0
2812,133,0,3751,41,98890,26,68,141676,18897,1112,1835,2288,1
2445,121,0,3094,26,77075,50,66,115690,12754,869,9140,2188,0
2882,137,1,4030,47,106830,38,46,197490,9063,1245,18928,2860,0
3526,150,0,4354,53,154140,49,61,238987,26890,1566,240,2885,1
3003,123,0,3454,39,88515,37,52,128906,17399,803,2040,2099,1
2283,116,0,2922,27,70550,52,31,116545,7740,664,821,2177,0
3035,150,0,4119,64,145655,79,91,307176,26174,1687,8406,3879,1
2809,147,0,3742,48,121310,52,49,183808,20011,1334,6189,3101,1
2869,133,0,3627,38,93345,48,88,145660,11023,991,0,2380,0
2229,138,0,3763,33,78915,78,29,178623,1019,710,951,2484,0
2600,124,0,3498,50,81865,42,86,131854,26604,639,0,2075,1
2897,150,0,4485,75,124380,51,32,194367,23201,915,3224,2896,1
3073,139,0,3887,50,93800,28,42,146234,18045,977,400,2419,1
2486,130,1,3265,29,93215,55,36,102133,3926,859,2721,2475,0
2563,139,1,3344,39,89435,58,42,146513,6677,749,177,2763,0
5331,145,0,7988,41,124765,15,38,106918,8523,384,1404,1456,1
2233,117,1,2799,20,80445,54,34,125746,3646,753,400,2464,0
2401,142,0,3315,37,101235,57,41,158407,15701,1049,1183,3035,1
2461,128,0,3035,21,90325,44,78,95263,12568,1262,3828,2579,0
1729,90,0,2383,17,40980,53,17,64847,0,283,0,1667,0
3209,140,0,3996,39,118175,45,29,171935,17631,1377,0,2556,0
2651,140,1,3699,44,95555,64,41,130045,7390,1044,0,2543,0
4662,139,0,7977,15,97365,22,12,66386,10058,454,3857,1240,0
2330,137,1,3471,27,83255,72,24,149756,3912,772,3123,2617,0
2071,108,1,2617,16,67925,53,33,82162,2106,782,0,2157,0
3154,148,0,3876,37,142875,53,71,234690,18674,1652,6923,3217,0
2785,144,0,3945,39,95860,48,43,138220,16312,975,4048,2478,1
2804,85,0,2767,32,55260,22,34,72653,20942,512,0,1332,1
2854,132,1,3788,47,88515,34,69,130732,15424,1117,7425,2181,1
3095,121,0,3775,101,93435,34,20,163235,9813,611,400,1900,1
3817,134,0,4687,34,95165,36,20,102122,32200,734,9028,1778,1
2587,133,1,3231,29,94755,67,92,155556,15268,993,5055,2560,0
2774,143,0,3425,62,116615,77,29,218864,19695,1044,6692,3112,1
4727,150,0,9017,19,99530,49,19,143645,2376,282,7503,1424,0
1760,61,1,1653,15,33630,38,27,39225,2211,197,412,1377,0
2465,86,1,2357,24,47660,42,20,58524,1147,295,0,1668,0
2696,144,0,3723,56,100350,59,42,184634,18375,1012,1789,2744,1
2025,51,1,1537,8,30670,27,27,34220,6984,261,0,1158,0
3467,141,0,8200,17,63195,30,19,86634,2848,236,6049,1263,0
2693,142,0,3668,72,116825,90,25,215164,12633,861,205,3128,1
2685,138,0,3836,67,89655,54,43,150154,21842,810,16801,2462,1
2465,126,0,3201,25,86750,48,69,75574,6834,1081,264,2351,0
2718,131,0,3825,48,85225,37,54,114786,16719,766,1351,2038,1
2789,149,0,3448,49,117885,60,65,234113,26084,1535,8958,3502,1
6381,142,0,9167,36,109665,26,33,81322,15917,391,5441,1083,1
2829,145,0,4268,61,103375,94,25,196103,23058,844,620,2762,0
2995,102,0,3242,42,69790,19,52,75586,19785,617,1713,1557,1
4927,150,0,8921,21,107515,48,32,103456,2346,454,1475,1516,0
5265,150,0,9975,32,113690,38,14,108860,10572,362,25178,1448,1
3133,129,0,3918,37,97850,48,57,174877,14648,747,13349,2142,0
2044,94,1,2512,14,50130,39,44,78441,4830,615,1245,1721,0
2826,148,0,3717,45,119735,52,94,214337,8788,1475,0,3034,0
2542,113,0,2836,35,80410,24,80,102462,23639,828,11171,2128,1
2357,118,0,3171,26,71945,49,64,104147,12326,909,1220,2040,0
2622,114,1,3216,23,67035,59,30,88894,1789,712,1247,1963,0
2673,65,1,2399,26,41035,13,42,45687,14462,352,1120,970,1
2208,111,1,2867,20,63285,63,28,92256,8045,775,2778,2010,0
2330,99,0,2881,37,51190,23,68,78646,16842,569,19717,1684,1
2980,139,0,3696,50,109470,47,67,147443,23672,1108,4009,2510,1
5209,150,1,9400,29,136160,43,31,161289,4599,449,90,1712,0
2492,99,1,3112,43,52650,22,70,86168,13026,409,13135,1521,1
706,7,0,776,2,2480,3,3,2743,0,17,0,175,1
2052,80,1,2078,21,41005,44,57,63197,2506,293,5190,1576,0
6186,150,0,9938,73,205480,59,20,300164,12745,728,4300,2547,1
700,14,0,895,2,5415,3,20,7302,0,66,0,475,1
6132,146,0,9961,49,113865,29,18,105344,19814,255,12065,1209,1
2888,150,0,4126,63,128775,71,60,227329,11822,1434,0,3386,0
2234,127,0,3363,35,70630,68,20,121521,2411,494,400,2184,0
1893,105,0,2721,18,50610,58,37,116643,3860,488,7743,1984,0
3854,111,1,4297,34,72550,16,43,78857,21674,535,737,1360,1
4973,141,0,7879,18,94320,42,35,91536,2436,485,1020,1175,0
4200,146,0,7046,18,106725,36,27,87944,3390,517,14094,1596,0
2770,111,1,3392,12,70850,36,38,68136,8244,758,1250,1749,0
2977,150,1,3699,56,143705,58,54,188005,10804,1520,3186,3428,0
2713,138,0,3485,32,89885,61,45,197685,10576,1206,18404,2573,0
2702,74,0,2360,31,54200,15,74,47282,27329,392,7351,1226,1
2906,148,0,3929,56,122275,42,44,163073,22489,1136,0,2746,1
3226,150,0,4157,55,120290,69,50,278916,30702,1283,11036,3114,1
2924,140,0,3746,46,102515,49,51,121742,25656,1115,1500,2462,1
4938,148,0,9056,37,102975,23,19,92656,8947,306,614,1296,1
4114,137,0,7111,13,86005,28,40,98369,10632,384,1729,1342,0
3212,145,0,3781,58,151325,93,31,254799,9720,1467,1483,3843,0
5519,150,0,9795,32,116565,40,7,104320,18015,351,1878,1319,1
4969,150,0,9278,20,119465,47,30,118796,11045,449,552,1490,0
2689,142,0,3898,38,99390,37,51,124188,13101,1148,10998,2393,1
2484,99,0,2979,33,53870,27,74,92027,16983,572,4199,1586,1
2131,136,0,3337,26,71835,43,73,87772,5385,825,0,2568,0
2249,102,1,2666,14,55995,37,34,87059,1958,644,693,1848,0
4058,145,0,8331,25,98730,51,13,115631,4585,197,250,1465,0
2657,145,0,3889,52,101855,61,33,131745,21526,934,2556,2728,1
2804,102,0,3125,36,68330,27,36,81730,16654,618,10012,1589,1
2583,87,0,2724,27,45555,14,69,67301,23180,538,3190,1405,1
2346,108,0,2979,28,64425,42,53,94365,10739,760,0,1839,0
6013,150,1,8491,39,190110,64,15,177196,19916,704,10876,2238,0
2841,124,0,3413,47,94070,44,51,143916,12545,925,2051,2234,1
2549,143,0,3605,42,95860,65,48,226205,12292,1177,695,2905,0
2119,117,0,2695,16,71770,65,44,96023,6088,1015,2844,2456,0
2538,137,0,3642,61,93035,51,58,138090,19744,768,20260,2513,1
2526,132,0,3496,56,83915,51,44,154438,19672,694,4322,2305,1
2744,147,0,3664,49,111940,63,48,163217,1457,1275,8716,2962,0
2250,118,0,3384,25,60720,47,77,123923,2456,699,4079,1947,0
3265,140,0,4047,38,112130,30,71,164040,25682,1185,0,2244,1
2396,121,0,3161,26,71545,57,80,106190,6868,827,3872,2163,0
2949,126,0,3485,23,98635,27,30,89797,19504,1171,7139,2164,1
3866,110,1,6038,13,58430,45,3,58120,868,123,891,981,0
3237,148,0,3831,37,150085,56,26,210389,16261,2161,400,3280,0
2511,132,0,3682,28,79965,54,64,110157,6496,1042,743,2214,0
3556,150,0,3299,41,209555,60,100,240186,26519,2640,2020,4752,0
6035,143,1,10174,31,92880,13,20,68513,17898,402,1586,983,1
2812,149,0,4319,50,102190,55,79,195437,17570,1171,1985,2739,1
2137,132,0,3352,27,78225,53,62,142059,3997,720,2934,2483,0
2951,129,0,3693,32,93345,43,53,125483,14861,942,3594,2150,1
5577,149,0,9548,38,102930,27,16,96346,9397,322,1140,1193,1
2234,105,0,3089,19,56665,39,65,68368,8042,632,4347,1705,0
2655,135,0,3619,28,97850,50,80,150827,13973,1128,4460,2541,0
2231,114,1,2956,30,69045,62,35,129924,2184,775,925,2069,0
5336,150,0,7961,30,173205,41,46,208042,7922,960,10259,2168,0
2930,144,0,3970,50,118725,63,28,175721,13253,1407,495,2903,0
3333,150,1,4024,74,187305,80,75,431226,29100,1969,6194,4591,1
3101,127,0,3930,42,89580,23,69,108001,26162,917,5150,1914,1
3512,149,0,4065,43,162205,68,55,251337,33300,1695,3260,3136,0
2415,130,0,3124,21,86835,44,67,97905,7501,1011,1362,2441,0
2158,79,0,2319,10,50445,33,52,52358,12584,578,498,1390,0
2813,139,0,4059,53,90910,30,43,131224,15355,900,7056,2186,1
2034,83,0,2278,9,41550,39,76,49495,7376,566,72,1520,0
1962,138,0,3199,38,75950,70,26,153344,3915,635,19370,2777,0
6055,150,1,8047,42,218560,37,36,272383,15769,1061,8309,2442,1
2536,138,0,3672,38,82300,55,48,156014,10255,1036,13366,2448,0
2764,138,0,4246,63,86675,41,67,147357,17343,728,0,2101,1
2327,125,0,3358,36,68820,59,42,109054,8959,699,6340,2237,0
2935,149,1,3974,67,142255,74,40,305971,11640,1503,10651,3865,0
2543,136,1,3695,40,88315,49,35,123715,8243,1076,1549,2447,0
2890,136,0,3899,45,94635,29,38,142539,22890,1041,3561,2236,1
2793,139,0,4211,41,77630,49,46,130714,18287,870,7252,2184,1
3283,150,0,3916,76,188700,74,80,409680,23411,1979,14520,4392,1
3031,116,0,3747,65,76105,29,88,120036,18643,608,5098,1764,1
2870,150,0,4015,62,120210,48,56,186797,18116,1148,0,2931,1
2695,143,0,4092,58,98225,60,29,122384,16210,913,4375,2499,1
3099,123,1,3138,52,118710,43,42,164312,18625,916,4378,2696,1
2506,135,0,3414,30,89735,57,50,138243,11175,867,8376,2456,0
3115,135,1,3665,38,115290,64,115,178191,18160,1499,4106,2720,0
5776,150,0,8283,46,228885,63,45,310276,21673,871,0,2844,1
2736,150,1,3936,55,109080,83,54,222904,14810,1179,991,3198,0
4414,134,1,6880,21,86445,34,17,114245,5557,366,1400,1246,0
6244,148,0,9404,36,131085,28,15,130970,20796,401,2801,1270,1
5396,148,1,10206,28,143965,41,12,100386,8105,698,0,1805,0
2563,139,0,3523,33,104205,59,49,137949,5216,1219,8219,2836,0
2828,132,0,4057,57,76660,56,56,140291,22741,695,240,2029,1
2553,139,0,3338,38,105125,49,52,187974,4154,1034,21408,3019,0
2705,147,0,3307,58,131600,49,87,209627,16701,1256,5367,3325,1
2794,150,0,3422,52,142195,74,45,349081,15698,1424,9533,3891,1
2445,138,0,3475,28,92320,42,40,144320,11441,1262,1485,2680,0
3173,149,1,3958,70,135940,68,47,226234,18939,1333,4139,3265,1
2560,130,0,3299,42,93890,36,77,128120,21916,927,0,2323,1
5629,95,0,6554,15,56565,12,5,45929,12347,205,148,692,1
2825,116,0,3461,41,83575,20,81,106602,20129,829,7227,1821,1
4531,149,0,7233,23,114620,36,27,106952,2585,481,325,1624,0
2525,129,0,3447,44,82490,32,41,133861,21486,922,0,2299,1
4403,139,0,6742,19,88795,29,18,107622,5920,365,4865,1343,0
2078,127,0,3198,31,68325,68,42,145599,9104,536,88,2342,0
2718,116,1,3530,44,70840,35,34,127548,21165,610,15,1878,1
5106,117,0,6481,34,72945,13,24,62106,9092,188,7289,985,1
3227,150,0,4079,62,141380,52,56,227422,31950,1865,9504,3216,1
3838,113,0,4625,19,68150,15,38,48553,29040,746,1162,1367,1
2586,126,0,3462,35,83520,24,79,125927,23013,830,12496,2141,1
1683,80,0,1998,14,40260,49,38,97744,2060,426,640,1733,0
