Index,Radiant_GPM,Dire_GPM,Radiant_XPM,Dire_XPM,Leaver_status,Result,Radiant_Win
751,2690,2773,3530,3782,0,Dire,1
752,2977,1881,2716,2130,0,Radiant,1
753,1945,2944,2377,3479,0,Dire,0
754,5106,4212,7512,7204,0,Radiant,1
755,2831,2131,3315,2813,0,Radiant,0
756,4075,2065,7388,2539,0,Radiant,0
757,2438,2340,3419,3049,0,Radiant,0
758,3618,2868,2700,4082,0,Draw,1
759,5879,748,9221,582,0,Radiant,1
760,3118,3089,3874,4011,0,Draw,0
761,2582,2316,3640,3153,0,Radiant,1
762,5384,2512,9922,2770,1,Radiant,1
763,2703,2457,4083,3812,0,Radiant,1
764,3592,3287,4441,4367,0,Radiant,0
765,5618,2686,9507,3937,1,Radiant,1
766,2962,6418,3734,9557,0,Dire,1
767,2643,3110,2856,3270,0,Dire,1
768,2987,2777,3672,3580,1,Radiant,1
769,3169,2725,3629,3494,0,Radiant,1
770,6523,4230,9097,4403,0,Radiant,1
771,2838,2823,3629,3668,0,Draw,1
772,2870,2348,3293,3384,0,Draw,0
773,4401,2342,8199,3010,0,Radiant,1
774,2213,1798,3016,1932,0,Radiant,0
775,2334,2583,3207,3520,0,Dire,0
776,2257,5584,2756,8869,0,Dire,0
777,2676,2830,3597,4233,0,Dire,1
778,2500,2775,3001,3899,0,Dire,0
779,2739,2767,3609,3863,0,Dire,0
780,2902,5272,4431,7994,0,Dire,1
781,2733,6371,4052,9566,0,Dire,1
782,4624,1870,3674,2281,0,Radiant,1
783,3285,3781,4259,3656,1,Draw,1
784,5791,2902,8652,3780,0,Radiant,1
785,3083,2367,4120,2994,0,Radiant,1
786,2299,3670,3359,4961,0,Dire,0
787,2855,2479,2756,2683,0,Radiant,1
788,2901,2728,4147,3237,0,Radiant,1
789,1794,2513,2079,3136,0,Dire,0
790,6403,3039,8943,4228,0,Radiant,1
791,2491,2739,3328,4036,0,Dire,0
792,3252,4868,4016,9026,0,Dire,0
793,2979,2733,4369,3758,0,Radiant,0
794,3208,5213,3867,8670,0,Dire,1
795,5642,2643,10372,3619,0,Radiant,0
796,2591,2223,3240,2806,1,Radiant,1
797,2362,5250,2706,8944,0,Dire,0
798,2439,3052,3340,3994,0,Dire,0
799,3560,2520,4990,3117,0,Radiant,1
800,2523,2710,3884,3787,0,Draw,0
801,5663,4421,9213,7725,0,Radiant,1
802,3008,1993,3577,2729,0,Radiant,1
803,2342,1944,3081,2380,1,Radiant,0
804,2373,5456,3049,8650,0,Dire,0
805,1620,2180,1770,2142,0,Dire,0
806,2559,2671,3807,3393,0,Draw,0
807,3215,2657,3693,3788,0,Draw,1
808,2934,2314,3457,2683,0,Radiant,0
809,5102,2913,7761,3906,0,Radiant,1
810,5768,2955,9142,4222,0,Radiant,1
811,2087,2937,2752,3831,0,Dire,0
812,3135,2912,4056,4091,0,Draw,1
813,2878,2974,3831,3478,0,Draw,0
814,3441,2434,3916,3156,1,Radiant,1
815,2757,2707,3887,3839,0,Radiant,1
816,1820,2935,2068,3676,0,Dire,0
817,2898,5706,3974,7533,0,Dire,1
818,5675,2431,8630,3022,0,Radiant,1
819,2827,2811,3498,3543,0,Draw,1
820,2494,3131,3770,3702,0,Draw,0
821,2435,2661,3551,3840,1,Dire,0
822,2073,2427,1616,3058,0,Dire,0
823,2694,2749,3790,4392,0,Dire,0
824,2623,3059,3506,3371,0,Draw,1
825,1912,2959,2442,3857,0,Dire,0
826,3233,2833,3941,3539,0,Radiant,1
827,2570,3616,3931,4238,0,Dire,0
828,2491,1922,3523,2613,0,Radiant,1
829,5076,2739,8234,3075,0,Radiant,0
830,2267,6073,2711,8838,0,Dire,0
831,2910,2543,3754,3357,0,Radiant,1
832,2326,2260,3189,3677,0,Draw,0
833,2681,1922,3286,3588,0,Draw,1
834,3988,2753,7237,3629,0,Radiant,0
835,2766,2445,2829,3435,0,Draw,1
836,2919,2852,3664,3456,0,Radiant,1
837,3197,2638,4140,2969,0,Radiant,1
838,2669,2457,3794,3011,1,Radiant,0
839,2802,2765,3696,4002,0,Draw,1
840,2448,5237,3423,7370,0,Dire,1
841,2609,2905,3917,3544,0,Draw,1
842,3171,3165,3716,4131,0,Draw,1
843,1880,2865,2216,3498,0,Dire,0
844,6287,3322,9609,3484,0,Radiant,1
